artifact;repo
org.apache.felix:org.apache.felix.ipojo.annotations;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.ipojo.manipulator;https://github.com/apache/felix-dev
org.apache.geronimo.components:geronimo-transaction;https://github.com/apache/geronimo-txmanager
org.apache.qpid:proton-j;https://github.com/apache/qpid-proton-j
org.apache.sling:org.apache.sling.scripting.javascript;https://github.com/apache/sling-org-apache-sling-scripting-javascript
org.apache.wss4j:wss4j-bindings;https://github.com/apache/ws-wss4j
org.apache.wss4j:wss4j-policy;https://github.com/apache/ws-wss4j
org.apache.wss4j:wss4j-ws-security-policy-stax;https://github.com/apache/ws-wss4j
org.apache.wss4j:wss4j-ws-security-stax;https://github.com/apache/ws-wss4j
org.apache.openjpa:openjpa-kernel;https://github.com/apache/openjpa
org.apache.openjpa:openjpa-lib;https://github.com/apache/openjpa
org.apache.openjpa:openjpa-persistence;https://github.com/apache/openjpa
org.apache.geronimo.components:geronimo-connector;https://github.com/apache/geronimo-txmanager
org.apache.openjpa:openjpa-jdbc;https://github.com/apache/openjpa
org.apache.camel:camel-context;https://github.com/apache/camel
org.apache.camel:camel-xmlbeans;https://github.com/apache/camel
org.apache.camel:camel-aws;https://github.com/apache/camel
org.apache.jclouds.api:byon;https://github.com/apache/jclouds
org.apache.jclouds.api:docker;https://github.com/apache/jclouds
org.apache.jclouds.api:openstack-nova;https://github.com/apache/jclouds
org.apache.jclouds.driver:jclouds-jsch;https://github.com/apache/jclouds
org.apache.jclouds.driver:jclouds-slf4j;https://github.com/apache/jclouds
org.apache.jclouds.driver:jclouds-sshj;https://github.com/apache/jclouds
org.apache.jclouds.provider:aws-ec2;https://github.com/apache/jclouds
org.apache.jclouds.provider:azurecompute-arm;https://github.com/apache/jclouds
org.apache.camel:camel-swagger;https://github.com/apache/camel
org.apache.camel:camel-elasticsearch5;https://github.com/apache/camel
org.apache.felix:org.apache.felix.http.bridge;https://github.com/apache/felix-dev
org.apache.felix:org.apache.felix.metatype;https://github.com/apache/felix-dev
org.apache.camel:camel-castor;https://github.com/apache/camel
org.apache.lucene:lucene-analyzers-nori;https://github.com/apache/lucene-solr
org.apache.johnzon:johnzon-core;https://github.com/apache/johnzon
org.apache.servicemix.bundles:org.apache.servicemix.bundles.cglib;https://github.com/apache/servicemix-bundles
org.apache.lucene:lucene-analyzers-stempel;https://github.com/apache/lucene-solr
org.apache.sling:org.apache.sling.commons.osgi;https://github.com/apache/sling-org-apache-sling-commons-osgi
org.apache.jena:jena-sdb;https://github.com/apache/jena
org.apache.jena:jena-fuseki;https://github.com/apache/jena
org.apache.helix:helix-core;https://github.com/apache/helix
org.apache.servicemix.bundles:org.apache.servicemix.bundles.saxon;https://github.com/apache/servicemix-bundles
org.apache.ant:ant-apache-bcel;https://github.com/apache/ant
org.apache.beam:beam-model-pipeline;https://github.com/apache/beam
org.apache.beam:beam-runners-core-construction-java;https://github.com/apache/beam
org.apache.beam:beam-runners-core-java;https://github.com/apache/beam
org.apache.beam:beam-runners-java-fn-execution;https://github.com/apache/beam
org.apache.geronimo.arthur:arthur-impl;https://github.com/apache/geronimo-arthur
org.apache.geronimo.arthur:arthur-spi;https://github.com/apache/geronimo-arthur
org.apache.jena:jena-osgi;https://github.com/apache/jena
org.apache.mesos:mesos;https://github.com/apache/mesos
org.apache.myfaces.core.extensions.quarkus:myfaces-quarkus;https://github.com/apache/myfaces-master-pom
org.apache.servicemix.bundles:org.apache.servicemix.bundles.kafka-clients;https://github.com/apache/servicemix-bundles
org.apache.jena:jena-commonsrdf;https://github.com/apache/jena
org.apache.karaf.features:standard;https://github.com/apache/karaf
org.apache.johnzon:johnzon-mapper;https://github.com/apache/johnzon
org.apache.camel:camel-jetty9;https://github.com/apache/camel
org.apache.servicemix.bundles:org.apache.servicemix.bundles.mustache-compiler;https://github.com/apache/servicemix-bundles
org.apache.jclouds.api:filesystem;https://github.com/apache/jclouds
org.apache.jclouds.provider:aws-s3;https://github.com/apache/jclouds
org.apache.beam:beam-runners-spark-3;https://github.com/apache/beam
org.apache.beam:beam-sdks-java-io-jdbc;https://github.com/apache/beam
org.apache.cxf:cxf-rt-rs-security-xml;https://github.com/apache/cxf
org.apache.geronimo:docker-configsource;https://github.com/apache/geronimo-microprofile
org.apache.geronimo:geronimo-jcache-simple;https://github.com/apache/geronimo-jcache-simple
org.apache.geronimo:geronimo-metrics;https://github.com/apache/geronimo-metrics
org.apache.geronimo:geronimo-metrics-sigar;https://github.com/apache/geronimo-metrics
org.apache.geronimo:geronimo-metrics-tomcat;https://github.com/apache/geronimo-metrics
org.apache.geronimo:geronimo-openapi-impl;https://github.com/apache/geronimo-openapi
org.apache.geronimo:geronimo-opentracing;https://github.com/apache/geronimo-opentracing
org.apache.geronimo:secured-string-converter;https://github.com/apache/geronimo-microprofile
org.apache.olingo:odata-client-api;https://github.com/apache/olingo-odata4
org.apache.olingo:odata-client-core;https://github.com/apache/olingo-odata4
org.apache.openjpa:openjpa-persistence-jdbc;https://github.com/apache/openjpa
org.apache.servicemix.bundles:org.apache.servicemix.bundles.derby;https://github.com/apache/servicemix-bundles
