artifact,done
com.payneteasy.superfly:superfly-client,true
com.payneteasy.superfly:superfly-common,true
com.paypal.instrumentation.facade:instrumentation-facade,true
SoftPosSdk:visa_aar,true
PT2_Sdk:cardscan-ui,true
PT2_Sdk:scan-camera,true
PT2_Sdk:scan-payment-full,true
PT2_Sdk:scan-ui,true
${project.parent.group-id}:fd-client-core,true
com.pontusvision:janusgraph-hbase-10,true
com.pontusvision:janusgraph-hbase-core,true
com.pontusvision:janusgraph-hbase-server,true
io.kptfh.reactivejson:json-reactor,true
ping.foundation:journey-plugin,true
pluto-sample.pluto-plugins.plugins.exceptions:lib-no-op,true
pluto-sample.pluto-plugins.plugins.layout-inspector:lib-no-op,true
pluto-sample.pluto-plugins.plugins.logger:lib-no-op,true
pluto-sample.pluto-plugins.plugins.network.core:lib-no-op,true
pluto-sample.pluto-plugins.plugins.network.interceptor-ktor:lib-no-op,true
pluto-sample.pluto-plugins.plugins.network.interceptor-okhttp:lib-no-op,true
pluto-sample.pluto-plugins.plugins.rooms-database:lib-no-op,true
pluto-sample.pluto-plugins.plugins.shared-preferences:lib-no-op,true
com.bazaarvoice.jolt:jolt-complete,true
com.fastasyncworldedit:FAWE-Bukkit,true
com.github.steveice10:mcprotocollib,true
com.github.EngineHub:SquirrelID,true
com.github.dblock.waffle:waffle-tests,true
com.github.Steveice10:packetlib,true
com.github.shijingsh:knife4j-spring-boot-starter,true
com.gradecak.alfresco-mvc:alfresco-mvc-rest,true
com.oracle:ojdbc5.jar,true
com.payneteasy.superfly:superfly-crypto,true
com.paytm.pgplus:common-native,true
com.paytm.pgplus:pg-native,true
com.paytm.pgplus:pg-status-native,true
com.paytm.pgplus:refund-native,true
com.paytm.pgplus:signature-utility,true
unknown:unspecified,true
com.payneteasy.http-client:http-client-api,true
com.payneteasy.http-client:http-client-impl,true
com.alibaba.nacos:nacos-cmdb,true
com.phactum.lpm:lpm-common,true
curse.maven:ClothConfig-319057,true
net.sourceforge.spnego:spnego,true
pluto-sample.pluto-plugins.plugins.exceptions:lib,true
pluto-sample.pluto-plugins.plugins.layout-inspector:lib,true
pluto-sample.pluto-plugins.plugins.logger:lib,true
pluto-sample.pluto-plugins.plugins.network.core:lib,true
pluto-sample.pluto-plugins.plugins.network.interceptor-ktor:lib,true
pluto-sample.pluto-plugins.plugins.network.interceptor-okhttp:lib,true
pluto-sample.pluto-plugins.plugins.rooms-database:lib,true
pluto-sample.pluto-plugins.plugins.shared-preferences:lib,true
pluto-sample:utilities,true
com.atlassian.connect:atlassian-connect-spring-boot-api,true
com.google.openrtb:openrtb-core,true
com.googlecode.xremoting:xremoting-core,true
com.liferay:portal-kernel,true
com.payneteasy.superfly:superfly-client-opt,true
com.paypal.instrumentation:sdk,true
com.perfma.xlab:xpocket-runtime,true
com.roam:roamreaderunifiedapi,true
io.netty.tcnative:netty-tcnative,true
net.minecraft:client,true
net.minecraft:mappings_official,true
net.minecraftforge:forgespi,true
org.quiltmc.qsl.block:block_entity,true
org.quiltmc.qsl.block:block_extensions,true
org.quiltmc.qsl.core:crash_info,true
org.quiltmc.qsl.core:lifecycle_events,true
org.quiltmc.qsl.core:networking,true
org.quiltmc.qsl.core:qsl_base,true
org.quiltmc.qsl.core:registry,true
org.quiltmc.qsl.core:resource_loader,true
org.quiltmc.qsl.data:recipe,true
org.quiltmc.qsl.data:registry_entry_attachments,true
org.quiltmc.qsl.data:tags,true
org.quiltmc.qsl.gui:screen,true
org.quiltmc.qsl.gui:tooltip,true
org.quiltmc.qsl.item:item_group,true
org.quiltmc.qsl.item:item_setting,true
org.quiltmc.qsl.management:client_command,true
org.quiltmc.qsl.management:command,true
org.quiltmc.qsl.misc:datafixerupper,true
org.quiltmc.qsl.worldgen:biome,true
org.quiltmc.qsl.worldgen:dimension,true
org.quiltmc.quilted-fabric-api:fabric-api-base,true
